Transaction ID,Customer ID,Transaction Amount,Transaction Date,Complaint Description,Dispute Category
TXN97694240,CUST301629,23.56,2023-01-01,I have a written confirmation from the merchant that 23.56 would be refunded but my account still shows the charge.,Refund Not Processed
TXN92533661,CUST462479,26.4,2023-01-01,I was charged 26.40 twice for the same purchase at the same merchant on 2023-01-01. Please reverse the duplicate charge.,Duplicate Charge
TXN41225607,CUST364525,111.15,2023-01-01,The merchant charged my card 111.15 two times for one order. I have the receipt showing only one transaction.,Duplicate Charge
TXN28996632,CUST255287,1050.76,2023-01-01,"I received a defective product after paying 1,050.76. The merchant refused my return request and will not issue a refund.",Defective Product/Service
TXN46918152,CUST160423,132.5,2023-01-01,I cancelled a subscription and was told I would receive a prorated refund of 132.50 but nothing has come through.,Refund Not Processed
TXN87761337,CUST436814,713.95,2023-01-01,My card was charged 713.95 three times for a single transaction. I need the extra charges refunded.,Duplicate Charge
TXN50101876,CUST736565,29.4,2023-01-01,I paid 29.40 for an online purchase but the package was never delivered. The tracking shows it was lost in transit.,Product/Service Not Received
TXN96877059,CUST676713,97.04,2023-01-01,I was charged 97.04 but the agreed price was much lower. The merchant overcharged me and I have the original receipt.,Wrong Amount
TXN12877866,CUST877991,1899.17,2023-01-01,"My account was charged 1,899.17 without my consent. I believe someone has stolen my card details and made this purchase.",Unauthorized Transaction
TXN18376603,CUST810526,1951.85,2023-01-02,"The product worth 1,951.85 stopped working within 2 days of purchase. The merchant denied my warranty claim.",Defective Product/Service
TXN89045858,CUST691303,426.67,2023-01-02,There are two charges of 426.67 from the same store on the same day. I only made one purchase and have proof.,Duplicate Charge
TXN45976961,CUST786041,4047.77,2023-01-02,"A subscription I never signed up for is charging my account 4,047.77 every month. I need all charges reversed.",Subscription Issue
TXN43544444,CUST143941,164.16,2023-01-02,I see a suspicious charge of 164.16 that I did not initiate. I was in a different city when this transaction occurred.,Unauthorized Transaction
TXN85688787,CUST551914,7.25,2023-01-02,Someone used my card information to make a purchase of 7.25. I need this reversed and a new card issued immediately.,Unauthorized Transaction
TXN53602595,CUST346277,46.25,2023-01-02,My bill was 46.25 but the merchant processed a higher amount. I have photographic evidence of the original bill.,Wrong Amount
TXN88326118,CUST838083,226.72,2023-01-02,Someone used my card information to make a purchase of 226.72. I need this reversed and a new card issued immediately.,Unauthorized Transaction
TXN61090978,CUST183667,29.28,2023-01-02,I have been charged 29.28 for a recurring payment that I explicitly cancelled via the merchant app on 2023-01-02.,Subscription Issue
TXN99224381,CUST258290,55.72,2023-01-02,I see a suspicious charge of 55.72 that I did not initiate. I was in a different city when this transaction occurred.,Unauthorized Transaction
TXN71481712,CUST352673,4805.52,2023-01-02,"The product worth 4,805.52 stopped working within 2 days of purchase. The merchant denied my warranty claim.",Defective Product/Service
TXN40348499,CUST288667,64.55,2023-01-02,The merchant took 64.55 from my account for a pre-order but has gone silent and the product was never shipped.,Product/Service Not Received
TXN67436610,CUST902325,40.63,2023-01-02,An unauthorized payment of 40.63 appeared on my statement. I have never visited this merchant or authorized any payment to them.,Unauthorized Transaction
TXN80648970,CUST332823,256.21,2023-01-02,I cancelled a subscription and was told I would receive a prorated refund of 256.21 but nothing has come through.,Refund Not Processed
TXN66875091,CUST245939,1177.62,2023-01-03,"I have a written confirmation from the merchant that 1,177.62 would be refunded but my account still shows the charge.",Refund Not Processed
TXN56972893,CUST935457,168.65,2023-01-03,I was promised a refund of 168.65 by the merchant but it has been over 30 days and nothing has been credited.,Refund Not Processed
TXN28535751,CUST451470,343.04,2023-01-03,My card was used without authorization for a transaction of 343.04. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN35515341,CUST182857,141.19,2023-01-03,I was double-charged 141.19 for a subscription renewal. The service should only bill once per month.,Duplicate Charge
TXN69054737,CUST876646,2355.51,2023-01-03,"I was charged 2,355.51 for a premium service but received the basic version. The merchant will not upgrade or refund.",Defective Product/Service
TXN56816177,CUST748458,725.39,2023-01-03,My card was used without authorization for a transaction of 725.39. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN96846360,CUST662093,63.83,2023-01-03,I placed an order worth 63.83 on 2023-01-03 and the merchant confirmed it but nothing has been delivered so far.,Product/Service Not Received
TXN61943118,CUST375504,26.91,2023-01-03,"I was charged 26.91 for a service that was never provided. Despite multiple follow-ups, the vendor has not delivered.",Product/Service Not Received
TXN60674429,CUST997004,192.88,2023-01-04,Someone used my card information to make a purchase of 192.88. I need this reversed and a new card issued immediately.,Unauthorized Transaction
TXN57244013,CUST806073,231.24,2023-01-04,The merchant took 231.24 from my account for a pre-order but has gone silent and the product was never shipped.,Product/Service Not Received
TXN45341746,CUST804318,30.12,2023-01-04,My card was used without authorization for a transaction of 30.12. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN54680292,CUST422451,270.38,2023-01-04,I returned a product worth 270.38 on 2023-01-04 but the refund has not been credited to my account yet.,Refund Not Processed
TXN28813472,CUST120324,132.07,2023-01-04,I paid 132.07 for a product that does not match the specifications listed on the merchant website at all.,Defective Product/Service
TXN21307189,CUST726410,32.16,2023-01-04,I was charged 32.16 but the agreed price was much lower. The merchant overcharged me and I have the original receipt.,Wrong Amount
TXN85933165,CUST523956,135.03,2023-01-04,I received an alert about a 135.03 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
